,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,09-09-2021,265.00,Metric Tonnes,3498.00,Rs./Quintal
Maharashtra,Cereals,Rice,10-09-2021,10.00,Metric Tonnes,3480.00,Rs./Quintal
Maharashtra,Cereals,Rice,11-09-2021,163.00,Metric Tonnes,3716.41,Rs./Quintal
Maharashtra,Cereals,Rice,12-09-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,13-09-2021,264.00,Metric Tonnes,3445.84,Rs./Quintal
Maharashtra,Cereals,Rice,14-09-2021,165.00,Metric Tonnes,3629.94,Rs./Quintal
Maharashtra,Cereals,Rice,15-09-2021,173.00,Metric Tonnes,3523.57,Rs./Quintal
Maharashtra,Cereals,Rice,16-09-2021,279.00,Metric Tonnes,3669.00,Rs./Quintal
Maharashtra,Cereals,Rice,17-09-2021,247.00,Metric Tonnes,3526.07,Rs./Quintal
Maharashtra,Cereals,Rice,18-09-2021,272.00,Metric Tonnes,3483.62,Rs./Quintal
Maharashtra,Cereals,Rice,19-09-2021,4.00,Metric Tonnes,3600.00,Rs./Quintal
Maharashtra,Cereals,Rice,20-09-2021,241.00,Metric Tonnes,3688.39,Rs./Quintal
Maharashtra,Cereals,Rice,21-09-2021,221.00,Metric Tonnes,3761.97,Rs./Quintal
Maharashtra,Cereals,Rice,22-09-2021,190.00,Metric Tonnes,3699.96,Rs./Quintal
Maharashtra,Cereals,Rice,23-09-2021,211.00,Metric Tonnes,3667.11,Rs./Quintal
Maharashtra,Cereals,Rice,24-09-2021,207.00,Metric Tonnes,3806.91,Rs./Quintal
Maharashtra,Cereals,Rice,25-09-2021,310.00,Metric Tonnes,3713.82,Rs./Quintal
Maharashtra,Cereals,Rice,26-09-2021,25.00,Metric Tonnes,5028.00,Rs./Quintal
Maharashtra,Cereals,Rice,27-09-2021,204.00,Metric Tonnes,3596.42,Rs./Quintal
Maharashtra,Cereals,Rice,28-09-2021,206.00,Metric Tonnes,3893.77,Rs./Quintal
Maharashtra,Cereals,Rice,29-09-2021,205.00,Metric Tonnes,3604.43,Rs./Quintal
Maharashtra,Cereals,Rice,30-09-2021,376.00,Metric Tonnes,3729.05,Rs./Quintal
Maharashtra,Cereals,Rice,01-10-2021,131.00,Metric Tonnes,3460.61,Rs./Quintal
Maharashtra,Cereals,Rice,02-10-2021,66.00,Metric Tonnes,3699.62,Rs./Quintal
Maharashtra,Cereals,Rice,03-10-2021,10.00,Metric Tonnes,4440.00,Rs./Quintal
Maharashtra,Cereals,Rice,04-10-2021,248.00,Metric Tonnes,3241.72,Rs./Quintal
Maharashtra,Cereals,Rice,05-10-2021,240.00,Metric Tonnes,3440.26,Rs./Quintal
Maharashtra,Cereals,Rice,06-10-2021,235.00,Metric Tonnes,3533.36,Rs./Quintal
Maharashtra,Cereals,Rice,07-10-2021,215.00,Metric Tonnes,3350.02,Rs./Quintal
Maharashtra,Cereals,Rice,08-10-2021,187.00,Metric Tonnes,3371.71,Rs./Quintal
Maharashtra,Cereals,Rice,09-10-2021,199.00,Metric Tonnes,3477.39,Rs./Quintal
Maharashtra,Cereals,Rice,10-10-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,11-10-2021,196.00,Metric Tonnes,2992.68,Rs./Quintal
Maharashtra,Cereals,Rice,12-10-2021,238.00,Metric Tonnes,3352.71,Rs./Quintal
Maharashtra,Cereals,Rice,13-10-2021,157.00,Metric Tonnes,3631.25,Rs./Quintal
Maharashtra,Cereals,Rice,14-10-2021,150.00,Metric Tonnes,3683.40,Rs./Quintal
